"threshold","tpr","fpr","model"
0.200454446606549,0.978165938864629,0.248945147679325,"Model 1: Full main-effects"
0.205328982382776,0.978165938864629,0.244725738396624,"Model 1: Full main-effects"
0.210179623716928,0.978165938864629,0.240506329113924,"Model 1: Full main-effects"
0.210681925863628,0.978165938864629,0.236286919831224,"Model 1: Full main-effects"
0.223067601496448,0.978165938864629,0.232067510548523,"Model 1: Full main-effects"
0.224330183014952,0.973799126637555,0.232067510548523,"Model 1: Full main-effects"
0.23196483877647,0.973799126637555,0.227848101265823,"Model 1: Full main-effects"
0.234077736243768,0.973799126637555,0.223628691983122,"Model 1: Full main-effects"
0.234658306910946,0.973799126637555,0.219409282700422,"Model 1: Full main-effects"
0.239898679271777,0.973799126637555,0.215189873417722,"Model 1: Full main-effects"
0.247919936221314,0.973799126637555,0.210970464135021,"Model 1: Full main-effects"
0.2520914115648,0.973799126637555,0.206751054852321,"Model 1: Full main-effects"
0.254704255850408,0.973799126637555,0.20253164556962,"Model 1: Full main-effects"
0.25575932860532,0.96943231441048,0.20253164556962,"Model 1: Full main-effects"
0.265294466873754,0.96943231441048,0.19831223628692,"Model 1: Full main-effects"
0.266117256238722,0.96943231441048,0.194092827004219,"Model 1: Full main-effects"
0.266985848900071,0.96943231441048,0.189873417721519,"Model 1: Full main-effects"
0.268894490687505,0.965065502183406,0.189873417721519,"Model 1: Full main-effects"
0.272784655864041,0.965065502183406,0.185654008438819,"Model 1: Full main-effects"
0.276382030796998,0.960698689956332,0.185654008438819,"Model 1: Full main-effects"
0.277991183414334,0.960698689956332,0.181434599156118,"Model 1: Full main-effects"
0.287076452333519,0.960698689956332,0.177215189873418,"Model 1: Full main-effects"
0.289662841731413,0.960698689956332,0.172995780590717,"Model 1: Full main-effects"
0.295712457167228,0.956331877729258,0.172995780590717,"Model 1: Full main-effects"
0.298073009427176,0.956331877729258,0.168776371308017,"Model 1: Full main-effects"
0.298941335862654,0.956331877729258,0.164556962025316,"Model 1: Full main-effects"
0.299582899602146,0.951965065502183,0.164556962025316,"Model 1: Full main-effects"
0.301198774825872,0.951965065502183,0.160337552742616,"Model 1: Full main-effects"
0.301666994006395,0.951965065502183,0.156118143459916,"Model 1: Full main-effects"
0.301668824058292,0.947598253275109,0.156118143459916,"Model 1: Full main-effects"
0.303924774301103,0.947598253275109,0.151898734177215,"Model 1: Full main-effects"
